Compound_Name,smiles,N𝛿–,InChIKey
alln_10,COCc1cccc(N)c1,-0.79138,IRMGVBTVFRYBGN-UHFFFAOYSA-N
alln_105,COc1ccc(OC)c(N)c1,-0.79214,NAZDVUBIEPVUKE-UHFFFAOYSA-N
alln_115,COc1ccc(N)cc1OC,-0.79373,LGDHZCLREKIGKJ-UHFFFAOYSA-N
alln_146,NCc1ccccc1,-0.80836,WGQKYBSKWIADBV-UHFFFAOYSA-N
alln_16,Cc1ccc(N)cc1,-0.79374,RZXMPPFPUUCRFN-UHFFFAOYSA-N
alln_160,NCc1ccc(F)cc1,-0.80864,IIFVWLUQBAIPMJ-UHFFFAOYSA-N
alln_168,COc1ccc(CN)cc1,-0.81027,IDPURXSQCKYKIJ-UHFFFAOYSA-N
alln_17,Nc1ccccc1,-0.79202,PAYRUJLWNCNPSJ-UHFFFAOYSA-N
alln_198,NC1CCCC1,-0.82743,NISGSNTVMOOSJQ-UHFFFAOYSA-N
alln_210,NCc1ccccn1,-0.80975,WOXFMYVTSLAQMO-UHFFFAOYSA-N
alln_27,Nc1cccc(F)c1,-0.78796,QZVQQUVWFIZUBQ-UHFFFAOYSA-N
alln_32,CCOC(=O)c1csc(N)n1,-0.79737,XHFUVBWCMLLKOZ-UHFFFAOYSA-N
alln_36,Cc1csc(N)n1,-0.79816,OUQMXTJYCAJLGO-UHFFFAOYSA-N
alln_4,N#Cc1ccc(N)cc1,-0.77921,YBAZINRZQSAIAY-UHFFFAOYSA-N
alln_42,Nc1ccc(F)cc1,-0.79333,KRZCOLNOCZKSDF-UHFFFAOYSA-N
alln_2001,NC1CCCCC1,-0.82849,PAFZNILMFXTMIY-UHFFFAOYSA-N
alln_2002,NCC1=NC=CC=C1,-0.80975,WOXFMYVTSLAQMO-UHFFFAOYSA-N
alln_2003,NCC1CCCC1,-0.82135,UBLYEVLMRSPMOG-UHFFFAOYSA-N
alln_2004,NC1=CC=CC2=CC=CC=C21,-0.79368,RUFPHBVGCFYCNW-UHFFFAOYSA-N
alln_2005,NC1=CC=C(OC)C2=CC=CC=C21,-0.80131,JVMUPDOMGALPOW-UHFFFAOYSA-N
alln_2006,NC1=CC=C(C(F)(F)F)C=C1,-0.78447,ODGIMMLDVSWADK-UHFFFAOYSA-N
alln_2007,NCC1=CC=C(C(F)(F)F)C=C1,-0.80572,PRDBLLIPPDOICK-UHFFFAOYSA-N
alln_2008,NC1=CC=NC=C1,-0.78261,NUKYPUAOHBNCPY-UHFFFAOYSA-N
alln_1,CC1=N[C@H](NC(=O)C1)N,-0.81007,not_found
alln_100,COC(=O)c1cc2c(ncn2C)c(F)c1N,-0.79202,LDEVURKKVDBRLD-UHFFFAOYSA-N
alln_101,CC1(c2cccc(N)c2)OCCO1,-0.79159,ZXMQVZUQYHIOKO-UHFFFAOYSA-N
alln_102,CCOC(=O)c1cnc(N)nc1C,-0.76818,YBFVMJRSZCVJJP-UHFFFAOYSA-N
alln_103,Cc1c2ccc(N)cc2nn1C,-0.79398,PVNVSSNARYHLRF-UHFFFAOYSA-N
alln_104,Cc1cc(N)n(c2ccccc2)n1,-0.80986,FMKMKBLHMONXJM-UHFFFAOYSA-N
alln_106,Cc1cc(N)cc(F)c1,-0.78791,DPHBKGYVIHTBDG-UHFFFAOYSA-N
alln_107,CCc1cccc(CC)c1N,-0.80706,FOYHNROGBXVLLX-UHFFFAOYSA-N
alln_108,CC(C)Oc1ccc(N)cc1,-0.79397,MLNFMFAMNBGAQT-UHFFFAOYSA-N
alln_109,CSc1cccc(N)c1,-0.78957,KCHLDNLIJVSRPK-UHFFFAOYSA-N
alln_11,Cc1nc(N)cc(Cl)n1,-0.77319,SSAYHQQUDKQNAC-UHFFFAOYSA-N
alln_110,CCCCc1ccc(N)cc1,-0.79341,OGIQUQKNJJTLSZ-UHFFFAOYSA-N
alln_111,CC(C)c1ccc(N)cc1,-0.79352,LRTFPLFDLJYEKT-UHFFFAOYSA-N
alln_112,CC(C)(C)c1ccc(N)cc1,-0.79316,WRDWWAVNELMWAM-UHFFFAOYSA-N
alln_113,N#Cc1cnc(N)c(Cl)c1,-0.76845,XDDIMILABMXHFG-UHFFFAOYSA-N
alln_114,Cc1nccc(N)n1,-0.77964,GKVDLTTVBNOGNJ-UHFFFAOYSA-N
alln_116,CCOC(=O)c1ccc(C)c(N)c1,-0.79668,MCNBNDUVWQEKNZ-UHFFFAOYSA-N
alln_117,COC(=O)c1cc(N)cc(C(=O)OC)c1,-0.78741,DEKPYXUDJRABNK-UHFFFAOYSA-N
alln_118,Cn1c(=O)c2c(nc(N)n2Cc2ccccc2)n(C)c1=O,-0.79887,GJJSIFLFBCWVQS-UHFFFAOYSA-N
alln_119,CC(C)CCN,-0.82498,BMFVGAAISNGQNM-UHFFFAOYSA-N
alln_12,Nc1nc(Cl)ncc1F,-0.7696,SLQAJWTZUXJPNY-UHFFFAOYSA-N
alln_120,COCCN,-0.81938,ASUDFOJKTJLAIK-UHFFFAOYSA-N
alln_121,CCOC(=O)CN,-0.80803,NTNZTEQNFHNYBC-UHFFFAOYSA-N
alln_123,CNC(=S)N,-0.79937,KQJQICVXLJTWQD-UHFFFAOYSA-N
alln_124,NC1CC1,-0.81322,HTJDQJBWANPRPF-UHFFFAOYSA-N
alln_125,N[C@@H]1C=CS(=O)(=O)C1,-0.81779,YQYVLIKFODWGAV-SCSAIBSYSA-N
alln_126,CN(C)C(=S)N,-0.80528,ZQGWBPQBZHMUFG-UHFFFAOYSA-N
alln_128,COC(=O)CCN,-0.8257,UZCXPYDBYUEZCV-UHFFFAOYSA-N
alln_129,N[C@@H]1CCS(=O)(=O)C1,-0.81386,OVKIDXBGVUQFFC-SCSAIBSYSA-N
alln_13,Nc1cc2ccccc2c(=O)[nH]1,-0.79595,CVOZBLQWQILGIW-UHFFFAOYSA-N
alln_130,COC(=O)CN,-0.80781,KQSSATDQUYCRGS-UHFFFAOYSA-N
alln_132,CC(=CCN)C,-0.81256,PFCBHFDNVFQUJI-UHFFFAOYSA-N
alln_133,N[C@H]1CCS(=O)(=O)C1,-0.81386,OVKIDXBGVUQFFC-BYPYZUCNSA-N
alln_134,N[C@@H]1CCCOC1,-0.82999,WUUOEJJGRCQGBQ-RXMQYKEDSA-N
alln_135,CC(C)c1ccc(CN)cc1,-0.8089,YQSHYGCCYVPRDI-UHFFFAOYSA-N
alln_137,CCNC(=S)N,-0.79849,GMEHFXXZSWDEDB-UHFFFAOYSA-N
alln_138,NNC(=S)N,-0.79325,BRWIZMBXBAOCCF-UHFFFAOYSA-N
alln_139,NCc1cccc2ccccc12,-0.8121,NVSYANRBXPURRQ-UHFFFAOYSA-N
alln_14,COc1ccc(N)cc1,-0.79373,BHAAPTBBJKJZER-UHFFFAOYSA-N
alln_140,CC(=O)N,-0.82671,DLFVBJFMPXGRIB-UHFFFAOYSA-N
alln_141,NCc1ccco1,-0.80913,DDRPCXLAQZKBJP-UHFFFAOYSA-N
alln_142,NC[C@@H]1CCCO1,-0.81631,YNOGYQAEJGADFJ-YFKPBYRVSA-N
alln_143,NC[C@H]1CCCO1,-0.81951,YNOGYQAEJGADFJ-RXMQYKEDSA-N
alln_144,N[C@H]1C=CS(=O)(=O)C1,-0.8178,YQYVLIKFODWGAV-BYPYZUCNSA-N
alln_145,COCCNC(=S)N,-0.79576,XLJXJKHWLMYXBE-UHFFFAOYSA-N
alln_147,N[C@H]1CCCOC1,-0.82998,WUUOEJJGRCQGBQ-YFKPBYRVSA-N
alln_148,NC1COC1,-0.81906,OJEOJUQOECNDND-UHFFFAOYSA-N
alln_15,Nc1nc2c(s1)C(=O)CCC2,-0.78375,JAZOMJIYYHHUBH-UHFFFAOYSA-N
alln_150,NC(=S)N1CCOCC1,-0.80755,GSLBUBZXFUYMSW-UHFFFAOYSA-N
alln_151,NC1=NC(=O)CS1,-0.76948,HYMJHROUVPWYNQ-UHFFFAOYSA-N
alln_152,NCCn1cccn1,-0.81777,UIWDESVQLUNCRV-UHFFFAOYSA-N
alln_153,CC(C)(C)OC(=O)CN,-0.80789,SJMDMGHPMLKLHQ-UHFFFAOYSA-N
alln_154,CC(C)CN,-0.82309,KDSNLYIMUZNERS-UHFFFAOYSA-N
alln_155,C=CCN,-0.81153,VVJKKWFAADXIJK-UHFFFAOYSA-N
alln_156,N=C(N)NC(=S)N,-0.77778,OKGXJRGLYVRVNE-UHFFFAOYSA-N
alln_158,NC1=CC(=O)CCC1,-0.77696,ZZMRPOAHZITKBV-UHFFFAOYSA-N
alln_159,C=CCNC(=S)N,-0.79612,HTKFORQRBXIQHD-UHFFFAOYSA-N
alln_161,NCCc1ccccc1,-0.82806,BHHGXPLMPWCGHP-UHFFFAOYSA-N
alln_162,C#CCN,-0.7999,JKANAVGODYYCQF-UHFFFAOYSA-N
alln_163,NCc1cccs1,-0.80754,FKKJJPMGAWGYPN-UHFFFAOYSA-N
alln_164,NCc1ccncc1,-0.80454,TXQWFIVRZNOPCK-UHFFFAOYSA-N
alln_167,CC1(C)CC(=O)C=C(N)C1,-0.77694,MTZNODTZOSBYJW-UHFFFAOYSA-N
alln_169,C[C@@H]1CCC[C@H](N)C1,-0.82824,JYDYHSHPBDZRPU-RQJHMYQMSA-N
alln_170,CCCCN,-0.82511,HQABUPZFAYXKJW-UHFFFAOYSA-N
alln_171,NCc1ccc2c(c1)OCO2,-0.80992,ZILSBZLQGRBMOR-UHFFFAOYSA-N
alln_172,COc1ccccc1CN,-0.81414,PXJACNDVRNAFHD-UHFFFAOYSA-N
alln_173,CC(C)(C)N,-0.83179,YBRBMKDOPFTVDT-UHFFFAOYSA-N
alln_174,Cc1csc(CN)n1,-0.81582,OJEGLCVIHVSMMR-UHFFFAOYSA-N
alln_175,NC(=S)Nc1ccccc1,-0.79473,FULZLIGZKMKICU-UHFFFAOYSA-N
alln_176,CCC(N)CC,-0.82749,PQPFFKCJENSZKL-UHFFFAOYSA-N
alln_177,NCc1ccc(F)cc1F,-0.81685,QDZZDVQGBKTLHV-UHFFFAOYSA-N
alln_178,CCCN,-0.82537,WGYKZJWCGVVSQN-UHFFFAOYSA-N
alln_179,NCc1ccccc1F,-0.81167,LRFWYBZWRQWZIM-UHFFFAOYSA-N
alln_18,CNC(=O)Oc1ccc(N)cc1,-0.79019,JFANLKHJWWLSAT-UHFFFAOYSA-N
alln_180,NCCc1ccccn1,-0.81743,XPQIPUZPSLAZDV-UHFFFAOYSA-N
alln_181,CC1(N)CCCCC1,-0.82901,YDBHSDRXUCPTQQ-UHFFFAOYSA-N
alln_183,C[C@@H](N)c1ccc(F)cc1,-0.82026,QGCLEUGNYRXBMZ-ZCFIWIBFSA-N
alln_184,NC1=NCCCCC1,-0.80102,GTLJSJNKRLFVSJ-UHFFFAOYSA-N
alln_185,NC1=NCCCS1,-0.81082,PQXQEOIFIUJLIE-UHFFFAOYSA-N
alln_186,C[C@@H]1CCC[C@@H](N)C1,-0.82874,JYDYHSHPBDZRPU-RNFRBKRXSA-N
alln_187,N[C@H]1CCCc2cccnc12,-0.80945,JQGOUNFVDYUKMM-QMMMGPOBSA-N
alln_188,NCc1cccnc1,-0.80727,HDOUGSFASVGDCS-UHFFFAOYSA-N
alln_189,C[C@H](N)c1ccccc1,-0.82556,RQEUFEKYXDPUSK-ZETCQYMHSA-N
alln_19,COc1ccccc1N,-0.79425,VMPITZXILSNTON-UHFFFAOYSA-N
alln_190,C[C@H]1CCC[C@@H](N)C1,-0.82824,JYDYHSHPBDZRPU-NKWVEPMBSA-N
alln_191,Cc1ccc(CN)cc1,-0.80893,HMTSWYPNXFHGEP-UHFFFAOYSA-N
alln_192,Cc1ccc(CN)o1,-0.80978,YSEAGSCGERFGBL-UHFFFAOYSA-N
alln_193,NC1Cc2ccccc2C1,-0.82632,LMHHFZAXSANGGM-UHFFFAOYSA-N
alln_194,NCCc1cccnc1,-0.82741,NAHHNSMHYCLMON-UHFFFAOYSA-N
alln_195,C[C@@H](N)c1ccccc1,-0.82555,RQEUFEKYXDPUSK-SSDOTTSWSA-N
alln_196,NC(=S)c1ccccc1,-0.75642,QIOZLISABUUKJY-UHFFFAOYSA-N
alln_197,COc1cc(CN)cc(OC)c1,-0.8082,YGZJTYCCONJJGZ-UHFFFAOYSA-N
alln_199,NCc1ccc(Cl)s1,-0.807,QEEXZSPDLPRZEX-UHFFFAOYSA-N
alln_2,Nc1cccnc1,-0.78984,CUYKNJBYIJFRCU-UHFFFAOYSA-N
alln_20,Cc1cccc(C)c1N,-0.80514,UFFBMTHBGFGIHF-UHFFFAOYSA-N
alln_200,CCn1nccc1CN,-0.81602,VBRQKQJNZFDLDO-UHFFFAOYSA-N
alln_2008,NC1=CC=NC=C1,-0.78261,NUKYPUAOHBNCPY-UHFFFAOYSA-N
alln_201,COc1ccc(CN)cc1OC,-0.81049,DIVNUTGTTIRPQA-UHFFFAOYSA-N
