Compound_Name,smiles,Steric,InChIKey
alle_1,Brc1nc2ccccc2[nH]1,29.70764,PHPYXVIHDRDPDI-UHFFFAOYSA-N
alle_1000,BrC1=CSC=N1,29.79555,VDTIGYKLTROQAH-UHFFFAOYSA-N
alle_114,Brc1cccc2ncccc12,33.50697,CHODTZCXWXCALP-UHFFFAOYSA-N
alle_116,COc1ccc(Br)cc1F,30.54109,DWNXGZBXFDNKOR-UHFFFAOYSA-N
alle_117,Brc1cccc2cccnc12,32.35122,PIWNKSHCLTZKSZ-UHFFFAOYSA-N
alle_123,COc1ccc(Br)cc1OC,30.46132,KBTMGSMZIKLAHN-UHFFFAOYSA-N
alle_13,COc1cccc(Br)c1,30.58015,PLDWAJLZAAHOGG-UHFFFAOYSA-N
alle_140,Fc1cccc(Br)c1,30.64364,QDFKKJYEIFBEFC-UHFFFAOYSA-N
alle_144,Fc1cccc(Br)n1,30.0267,ZIDIKYIZXMYHAW-UHFFFAOYSA-N
alle_151,COc1cccc(Br)n1,29.91275,KMODISUYWZPVGV-UHFFFAOYSA-N
alle_153,CCc1ccc(Br)cc1,30.49062,URFPRAHGGBYNPW-UHFFFAOYSA-N
alle_169,Brc1cccc(Oc2ccccc2)c1,30.57039,AHDAKFFMKLQPTD-UHFFFAOYSA-N
alle_170,Cc1cc(F)ccc1Br,33.45976,RJPNVPITBYXBNB-UHFFFAOYSA-N
alle_178,Cc1ccccc1Br,33.51022,QSSXJPIWXQTSIX-UHFFFAOYSA-N
alle_184,Cc1ccc2ccccc2c1Br,37.0784,CMIMBQIBIZZZHQ-UHFFFAOYSA-N
alle_188,CCc1ccccc1Br,33.94973,HVRUGFJYCAFAAN-UHFFFAOYSA-N
alle_190,Fc1ccc(F)c(Br)c1,31.89217,XCRCSPKQEDMVBO-UHFFFAOYSA-N
alle_195,Cc1ccc(C)c(Br)c1,33.48743,QXISTPDUYKNPLU-UHFFFAOYSA-N
alle_20,N#Cc1ccc(Br)cc1,30.72015,HQSCPPCMBMFJJN-UHFFFAOYSA-N
alle_27,Brc1ccccn1,29.94531,IMRWILPUOVGIMU-UHFFFAOYSA-N
alle_28,Brc1ncccn1,29.60021,PGFIHORVILKHIA-UHFFFAOYSA-N
alle_340,COc1ccc2nc(Br)sc2c1,30.09018,YNONWDJSSPJFBQ-UHFFFAOYSA-N
alle_41,Brc1cccc2ccccc12,33.71858,DLKQHBOKULLWDQ-UHFFFAOYSA-N
alle_7,Fc1ccc(Br)cc1,30.60945,AITNMTXHTIIIBB-UHFFFAOYSA-N
alle_2001,FC(F)(C1=C(Br)C=C(OCC2=CC=CC=C2)C=C1)F,35.35128,DCNCLHCFZSJTEU-UHFFFAOYSA-N
alle_2002,BrC(C=CC(C1=C2C=CC=C1)=C34)=C3C=CC=C4C2=O,33.86183,WVECFEIAZAKUNF-UHFFFAOYSA-N
alle_2003,FC1=C(C#N)C=CC(Br)=C1,30.75433,HGXWRDPQFZKOLZ-UHFFFAOYSA-N
alle_2004,BrC1=C2C=CC=CC2=C3C=CC=CC3=C1,33.93997,RSQXKVWKJVUZDG-UHFFFAOYSA-N
alle_2005,BrC1=CC=C(C(C2=CC=CC=C2)=O)C=C1,30.58829,KEOLYBMGRQYQTN-UHFFFAOYSA-N
alle_2006,CC(C)(C1=CC(C(C)(C)C)=CC(Br)=C1)C,30.57364,BUOWTUULDKULFI-UHFFFAOYSA-N
alle_2007,BrC1=C(CN2CCOCC2)C=CC=C1,33.80486,RFCVOGXWQWZLPA-UHFFFAOYSA-N
alle_2008,CC1=CC=C(C2=CC=C(Br)C=C2)C=C1,30.56876,MYWLXURJCXISCT-UHFFFAOYSA-N
alle_2009,CCOC1=C(OC)C=C(C#N)C(Br)=C1,32.89491,DQVRTBPRKJRONY-UHFFFAOYSA-N
alle_2010,CC1=CC(C)=C(Br)C(C)=C1,36.7919,RRTLQRYOJOSPEA-UHFFFAOYSA-N
alle_2011,CCCCOC1=CC2=CC=C(Br)C=C2C=C1,30.5069,LIQQRPRDWMYCPK-UHFFFAOYSA-N
alle_2012,BrC1=CC(CC2=C3C=CC=C2)=C3C=C1,30.58178,FXSCJZNMWILAJO-UHFFFAOYSA-N
alle_2013,FC1=C(Br)C=C(C#N)C=C1,31.86938,JKCYKISVUIVZCS-UHFFFAOYSA-N
alle_2014,BrC1=CN=C(C)C(C(C(OC(C)C)=O)OC(C)(C)C)=C1N2CCC(C)(C)CC2,35.95846,YYKKIEREDBNIRV-UHFFFAOYSA-N
alle_2017,CC1=NN(C(NCC2=CC=CC(C3=NC=CN3C)=C2)=CC(C(O)(C)C)=N4)C4=C1Br,31.34523,HKEQKXHVCGZIBR-UHFFFAOYSA-N
alle_10,Clc1cc(Br)ncn1,30.07879,AFMQGCFSFMXMLO-UHFFFAOYSA-N
alle_101,COC(=O)c1cccc(Br)c1,30.55736,KMFJVYMFCAIRAN-UHFFFAOYSA-N
alle_102,Brc1ccc2c(c1)OCCCO2,30.4776,AZCHNKNSOZJHSH-UHFFFAOYSA-N
alle_104,CCOC(=O)c1csc(Br)n1,30.0153,CNHISCQPKKGDPO-UHFFFAOYSA-N
alle_106,CC(=O)Nc1ccc(Br)cc1,30.5183,MSLICLMCQYQNPK-UHFFFAOYSA-N
